Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b98fc877ffcd6e461d5f87c20736bc4f.jpg,Bild 717,"agricultural labourer, machinery"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b9a0ce3f1378d93045d2d9404611937f.jpg,Bild 718,"headscarf, headscarf, headscarf, agricultural labourer, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ba023246110abec7cb7bb0a316fafdcb.jpg,Bild 719,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bae709fd3ddc8a6f09981602cf026ccc.jpg,Bild 720,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0035305x_4.jpg,Bild 721,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0308344g_4.jpg,Bild 722,"crane, crane, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb03766057_4.jpg,Bild 723,"weapon, office worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0649646t_4.jpg,Bild 724,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0717904k_4.jpg,Bild 725,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0990946c_4.jpg,Bild 726,"sickle, flag, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb0c23cee627161adcfbe7b48ac1cceb.jpg,Bild 727,"agricultural labourer, agricultural labourer, hammer, headscarf, sickle, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb1025075w_4.jpg,Bild 728,"agricultural labourer, wheat, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb12639869_4.jpg,Bild 729,"plane, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb13322440_4.jpg,Bild 730,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb1605287m_4.jpg,Bild 731,"military, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb16735449_4.jpg,Bild 732,"factory worker, flag, flag, weapon, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb1946586d_4.jpg,Bild 733,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb2014845j_4.jpg,Bild 734,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb22878852_4.jpg,Bild 735,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb2322014k_4.jpg,Bild 736,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb25609271_4.jpg,Bild 737,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb2629184b_4.jpg,Bild 738,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb2902225s_4.jpg,Bild 739,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb2970484w_4.jpg,Bild 740,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb3243525z_4.jpg,Bild 741,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb3277655n_4.jpg,Bild 742,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb35848258_4.jpg,Bild 743,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb36189561_4.jpg,Bild 744,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb3857865b_4.jpg,Bild 745,"weapon, weapon, weapon, agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb3926126k_4.jpg,Bild 746,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4199164x_4.jpg,Bild 747,"factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4233295x_4.jpg,Bild 748,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4540465j_4.jpg,Bild 749,"factory worker, military, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4574596r_4.jpg,Bild 750,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4813506r_4.jpg,Bild 751,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4881766c_4.jpg,Bild 752,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb4915896m_4.jpg,Bild 753,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb5154804w_4.jpg,Bild 754,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb51889353_4.jpg,Bild 755,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb54961044_4.jpg,Bild 756,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb55302375_4.jpg,Bild 757,"factory worker, military, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb58374061_4.jpg,Bild 758,"military, weapon, weapon, weapon, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb5871536z_4.jpg,Bild 759,"military, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb61104445_4.jpg,Bild 760,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb6144574v_4.jpg,Bild 761,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb62128355_4.jpg,Bild 762,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb6451744g_4.jpg,Bild 763,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb6485877q_4.jpg,Bild 764,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb6793044q_4.jpg,Bild 765,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb68271781_4.jpg,Bild 766,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb7100214r_4.jpg,Bild 767,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb71684744_4.jpg,Bild 768,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb7407384h_4.jpg,Bild 769,"factory worker, weapon, headscarf, factory worker, agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb7441515k_4.jpg,Bild 770,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb75097740_4.jpg,Bild 771,"agricultural labourer, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb7748685b_4.jpg,Bild 772,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb7782817x_4.jpg,Bild 773,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb80558549_4.jpg,Bild 774,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb81241162_4.jpg,Bild 775,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb8397156k_4.jpg,Bild 776,"weapon, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb8465414b_4.jpg,Bild 777,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb8704324q_4.jpg,Bild 778,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb8738457z_4.jpg,Bild 779,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb88067146_4.jpg,Bild 780,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb9011494k_4.jpg,Bild 781,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb9079756m_4.jpg,Bild 782,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb9352795d_4.jpg,Bild 783,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb94210554_4.jpg,Bild 784,"weapon, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb96940986_4.jpg,Bild 785,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb9762353d_4.jpg,Bild 786,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bb9967135b_4.jpg,Bild 787,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bc0217a79306f71f81f0cd6f19f1c53a.jpg,Bild 788,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bc1913cd6ea34e5ae3b0aa84527fb290.jpg,Bild 789,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bc48c1a8569e49ed9396ccef113a5580.jpg,Bild 790,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bca20ecdaaaf3b106c276cb5f3d34788.jpg,Bild 791,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bce3630ade2bc4ea9a94a326d2f21fc5.jpg,Bild 792,"plane, plane, plane, plane, plane, hammer, hammer, plane, plane, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/beb20169a93e67bcd8e05db937e2e0ec.jpg,Bild 793,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/beebb32f80918a852217de404701e2b5.jpg,Bild 794,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bef92e5a23598149f58af294fee84757.jpg,Bild 795,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bf53f3755c9528e0af114cfa6ac40587.jpg,Bild 796,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bf66818475aae5cc1d698bd639739356.jpg,Bild 797,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bf6a1296601125d84962b784c124170b.jpg,Bild 798,"flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bfb6fe85c261be118643c8d420aae0ca.jpg,Bild 799,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bfc0d866cd57291dac40ef4093114447.jpg,Bild 800,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/bfe00cf406012752698360381b419776.jpg,Bild 801,"agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c0047dc8d121e780a29d42a09509f0a8.jpg,Bild 802,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c0220a9c0de38f8bfd50cf6d4ed8f425.jpg,Bild 803,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c08972fd86f4c586cbf3267ec2fa0e76.jpg,Bild 804,sickle
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c0d884bb2bf60a677ee768487ffe37a3.jpg,Bild 805,"factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c0e283330b45323b68abe55de367625b.jpg,Bild 806,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c0f7eecfc5bd54b0993e5292a85bd81d.jpg,Bild 807,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c103008df26f1d26a49d2f34c8c5693f.jpg,Bild 808,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c194140ad7abea16abb4dac3959dfe31.jpg,Bild 809,"factory worker, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c1ffffc2831b4bdbdbfc2d93823fcb8f.jpg,Bild 810,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c24c58561e26d86de48b75535a3da3b0.jpg,Bild 811,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c308113dbec4277f7edfb9622d5aafb2.jpg,Bild 812,"agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c31584b90041d2f61f111f8961549c18.jpg,Bild 813,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c3376a6ae095f304ec9472812be4eaa3.jpg,Bild 814,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c3689a9bd805072323885ad6507da5ad.jpg,Bild 815,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c386dd24cc8e11614a6c63ab9f332e48.jpg,Bild 816,"agricultural labourer, agricultural labourer, flag, plane, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c38772d5d4da4c2c79c62789724861cb.jpg,Bild 817,"agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c3e0a510168ea874f7da3b5c038f75cd.jpg,Bild 818,"factory worker, military, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c44162fb38a526170e68350703432e2b.jpg,Bild 819,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c4581436890f4bcfff2fc173f307855f.jpg,Bild 820,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c4ad446b1812b5e88225ff09b56eb713.jpg,Bild 821,"factory worker, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c597e808b6a8c70e4782fa50169b8f1b.jpg,Bild 822,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c603e5df1a553c22ce9244e98ddee0cc.jpg,Bild 823,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c608ce47f456923ec3c7c3516fe37979.jpg,Bild 824,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c64c685986123208c8ba4e6f2d143e02.jpg,Bild 825,"agricultural labourer, headscarf, headscarf, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c66a126ad312b67d0a094339878434a1.jpg,Bild 826,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c79e99d8c013c6b36970b641dda5aaa1.jpg,Bild 827,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c7e9f7b49a4bde76e74afddcd9ace13e.jpg,Bild 828,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c81edaf1b632c1f36471dfb0ce62b5ac.jpg,Bild 829,"factory worker, flag, agricultural labourer, flag, building, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c84f88544c6792e4f44d041e1c95baa7.jpg,Bild 830,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c8a861e6cf01ffbcb66abd0da675df6c.jpg,Bild 831,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c94424f74dd79d72903d837230f1d798.jpg,Bild 832,"factory worker, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/c9879e04c9beace089a5ac56e1cd999d.jpg,Bild 833,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ca404d1d03c2f49b73b1cd84bd2c6335.jpg,Bild 834,"factory worker, office worker, military, factory worker, agricultural labourer, factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ca6231165e6d00415974fcc0b494adf0.jpg,Bild 835,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ca867d26be3a56ef44b169e97be3a289.jpg,Bild 836,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ca87935c415cb227444713de582c70c6.jpg,Bild 837,"factory worker, agricultural labourer, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/caf69cff50a0176ee19acb2cb9aa5f2a.jpg,Bild 838,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cb4b0e3d240d75fa54a42d5e9c732187.jpg,Bild 839,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cbf1576b7d0b1e93545d7323a5243853.jpg,Bild 840,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cc6956bf1c6d4726641b956231b07749.jpg,Bild 841,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cc95c668666a4b44526ba4e3531d3c8b.jpg,Bild 842,"plane, hammer, plane, plane, plane, plane, plane, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ccbb34cfd26c51da06c6084957f0d854.jpg,Bild 843,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ccf081047193d7ceb324bdc01eb38660.jpg,Bild 844,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cd33e0fb60c4d4c8bf1f45992ac47d42.jpg,Bild 845,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cd6469e147ad41d599ca3204776a99ca.jpg,Bild 846,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cd88844cd4f0b57d0a4af7f9617f3b74.jpg,Bild 847,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cdce1a79ca11a0253db2684ea3b2a7f5.jpg,Bild 848,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cde8a65b3ca240986f6b551fff1d7db8.jpg,Bild 849,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ce172a2843234636c2e645877cfaee0a.jpg,Bild 850,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ce36bf324ae1046cdf117a5476dd953a.jpg,Bild 851,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cf4bbdb77c820dcefbeb2ad2d73ade5d.jpg,Bild 852,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cf7e7f77214d9f6f3e9eaaf28a81e225.jpg,Bild 853,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cfabca7812a4dbe1bafeb320ad78d778.jpg,Bild 854,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/cfe163a1da3693edc2c2c5baa517a7b5.jpg,Bild 855,"star, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d0604155f46256a2d5e5f8f0c3ccd26d.jpg,Bild 856,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d092fc7d55e1534eb7cc04581415f76d.jpg,Bild 857,"agricultural labourer, agricultural labourer, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d0bc915946fa704779712136b8cf2b8f.jpg,Bild 858,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d0d60f8f9a672ff692294b5357899ee6.jpg,Bild 859,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d14d23c99ff8bd634f223050dce9bf2c.jpg,Bild 860,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d1529d3dbb58c74f6c37c2bfb7355df3.jpg,Bild 861,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d163b99f98bb043fcd1cd8e6d707afde.jpg,Bild 862,"plane, agricultural labourer, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d193e38c71dfbcc03566f5de3402fdc5.jpg,Bild 863,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d1ca4064ceed5de318b4144fb8f3ff21.jpg,Bild 864,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d22a8f69eaf80b38b6477b4181158a93.jpg,Bild 865,"flag, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d235b08d77a154e0d8d8d50b8ef88757.jpg,Bild 866,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d237ef663bccad58d94a744d0c3158b5.jpg,Bild 867,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d29c994e644734463a6dbf9b0049c06f.jpg,Bild 868,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d2d3657c31c59fe91b638c8207cbd51c.jpg,Bild 869,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d3159265027be5bcd6d8f8d47a77f2b8.jpg,Bild 870,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d3295ae94950df49f1c2459933efdbf4.jpg,Bild 871,"flag, agricultural labourer, flag, flag, flag, factory worker, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d33f0d290b4872c5ec18b143d7877af3.jpg,Bild 872,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d36319edf8e8b56ab3daf1f9629ef49c.jpg,Bild 873,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d36c21098dbed60d687e70119180a00a.jpg,Bild 874,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d37ef063ea9e6f208934ad9b827ab524.jpg,Bild 875,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d3adc4999f92f02dde20dd39dfbe23c6.jpg,Bild 876,"agricultural labourer, agricultural labourer, factory worker, horse"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d3f06ac313f0b7ac2c6ad7e87e181c5d.jpg,Bild 877,"agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d3fe5e0fac9e719b16b886d02086da4c.jpg,Bild 878,"flag, flag, horse"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d4933c5c793daa7931f66ec1b0a6ee45.jpg,Bild 879,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d54b332a1a0a32a884d3fba813a50ccd.jpg,Bild 880,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d5771ced715c0fd51a4088606abdcd8e.jpg,Bild 881,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d5799a45bacd29e931889d86de736a39.jpg,Bild 882,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d62eb3ff13a0621cd430a6099d9efa12.jpg,Bild 883,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d6a4c93c0ef18e7caad11627582d8c04.jpg,Bild 884,"factory worker, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d71376e9568415e01148a092d97decd1.jpg,Bild 885,"star, agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d727a21318025dd0547f2831637b471e.jpg,Bild 886,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d73c443ebd3cb3b20c08b8696d188240.jpg,Bild 887,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d7b73326c8644c8fef8c30920558a5df.jpg,Bild 888,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d82280f6471ecb6a2011a1afb4a6c0d4.jpg,Bild 889,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8798687864c2dce226058195680ad2b.jpg,Bild 890,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8865cd3eed91a0660ad65fe53778be5.jpg,Bild 891,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8a110e798d192dddc926a40ec49ecda.jpg,Bild 892,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8d0e75dee4bf703a4982b748fd6c0ab.jpg,Bild 893,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8e19d8cb581ae1b6dfdd6448ad7bacf.jpg,Bild 894,"agricultural labourer, factory worker, agricultural labourer, flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d8ee3d063e216689680783460c732c4b.jpg,Bild 895,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d91f1361b82464ba9075c3e5fe6d7ee6.jpg,Bild 896,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d97783c6f2ada2e180f30b9dfd92ca5e.jpg,Bild 897,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d98c97f04bd4f37aaf218e55ad4996f8.jpg,Bild 898,"agricultural labourer, agricultural labourer, military, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/d9c7d9422386e73b950bb884c85ba889.jpg,Bild 899,"factory worker, office worker, book, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/da51968c1d1e5d6bdce8e77e8001e7ae.jpg,Bild 900,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/da6e7047e40bbea49bb1899901106d54.jpg,Bild 901,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/da7ed447c1a80cb5d4cc1e0ef09f4a75.jpg,Bild 902,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/da88c23b778e8ed4ceef16579285b67f.jpg,Bild 903,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dab54195704ce6fd139cd9b921eaeb57.jpg,Bild 904,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/daef13eb14f2f2c22041186437277849.jpg,Bild 905,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/db24cbb78fc27718c89b0e96402f15b9.jpg,Bild 906,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/db429e41b07c521eccb4dccfac22fa75.jpg,Bild 907,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/db9f47fa8cf805f0e436d265bee73a0d.jpg,Bild 908,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dc17241930a8a5ecc07d4959306301bf.jpg,Bild 909,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dc70e6d11b2a3c93b4544011eb81e607.jpg,Bild 910,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dd01f2e3d7e33399b350c8d971d94344.jpg,Bild 911,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/dd30ad56a0dd23bd6325d776d2a37633.jpg,Bild 912,"agricultural labourer, factory worker"
